,precision,recall,f1-score,support
DANIEL BAREZ,0.0,0.0,0.0,0.0
DANIEL CORMIER,0.0,0.0,0.0,1.0
DANIEL KELLY,0.0,0.0,0.0,0.0
DANIEL MARCOS,0.0,0.0,0.0,3.0
DANIEL OMIELANCZUK,0.0,0.0,0.0,0.0
DANIEL PINEDA,0.0,0.0,0.0,0.0
DANIEL ROBERTS,0.0,0.0,0.0,1.0
DANIEL RODRIGUEZ,0.0,0.0,0.0,2.0
DANIEL SANTOS,0.0,0.0,0.0,0.0
DANIEL SARAFIAN,0.0,0.0,0.0,0.0
DANIEL SPITZ,0.0,0.0,0.0,1.0
DANIEL TEYMUR,0.0,0.0,0.0,0.0
DANIEL ZELLHUBER,0.0,0.0,0.0,0.0
DANIELLE TAYLOR,0.0,0.0,0.0,1.0
DANILO MARQUES,0.0,0.0,0.0,0.0
DANNY BARLOW,0.0,0.0,0.0,0.0
DANNY CASTILLO,0.0,0.0,0.0,2.0
DANNY CHAVEZ,0.0,0.0,0.0,0.0
DANNY HENRY,0.0,0.0,0.0,1.0
DANNY MARTINEZ,0.0,0.0,0.0,0.0
DANNY ROBERTS,0.0,0.0,0.0,1.0
DANNY SILVA,0.0,0.0,0.0,0.0
DARIA ZHELEZNIAKOVA,0.0,0.0,0.0,1.0
DARKO STOSIC,0.0,0.0,0.0,0.0
DARON CRUICKSHANK,0.0,0.0,0.0,1.0
DARRELL HORCHER,0.0,0.0,0.0,0.0
DARREN ELKINS,0.5,0.2,0.2857142857142857,5.0
DARREN STEWART,0.0,0.0,0.0,0.0
DARREN TILL,0.0,0.0,0.0,0.0
DARREN UYENOYAMA,0.0,0.0,0.0,0.0
DARRICK MINNER,0.0,0.0,0.0,1.0
DAVE BENETEAU,0.0,0.0,0.0,0.0
DAVE HERMAN,0.0,0.0,0.0,1.0
DAVE MENNE,0.0,0.0,0.0,0.0
DAVE STRASSER,0.0,0.0,0.0,0.0
DAVEY GRANT,0.0,0.0,0.0,1.0
DAVI RAMOS,0.0,0.0,0.0,1.0
DAVID ABBOTT,0.0,0.0,0.0,2.0
DAVID BIELKHEDEN,0.0,0.0,0.0,1.0
DAVID BRANCH,0.0,0.0,0.0,0.0
DAVID DVORAK,0.0,0.0,0.0,0.0
DAVID HEATH,0.0,0.0,0.0,1.0
DAVID LOISEAU,0.0,0.0,0.0,0.0
DAVID MARTINEZ,0.0,0.0,0.0,0.0
DAVID MICHAUD,0.0,0.0,0.0,0.0
DAVID MITCHELL,0.0,0.0,0.0,1.0
DAVID ONAMA,0.0,0.0,0.0,2.0
DAVID TERRELL,0.0,0.0,0.0,0.0
DAVID TEYMUR,0.0,0.0,0.0,2.0
DAVID ZAWADA,0.0,0.0,0.0,0.0
DEAN LISTER,0.0,0.0,0.0,0.0
DEIVESON FIGUEIREDO,0.0,0.0,0.0,3.0
DEMETRIOUS JOHNSON,0.5,0.5,0.5,2.0
DEMIAN MAIA,0.0,0.0,0.0,6.0
DENIS KANG,0.0,0.0,0.0,0.0
DENIS TIULIULIN,0.0,0.0,0.0,0.0
DENISE GOMES,1.0,1.0,1.0,1.0
DENNIS BERMUDEZ,0.0,0.0,0.0,2.0
DENNIS BUZUKJA,0.0,0.0,0.0,1.0
DENNIS HALLMAN,0.0,0.0,0.0,2.0
DENNIS SIVER,0.0,0.0,0.0,2.0
DEREK BRUNSON,0.0,0.0,0.0,1.0
DERON WINN,0.0,0.0,0.0,0.0
DERRICK LEWIS,0.3333333333333333,0.2,0.25,5.0
DESMOND GREEN,0.0,0.0,0.0,0.0
DEVIN CLARK,0.0,0.0,0.0,2.0
DEVIN POWELL,0.0,0.0,0.0,1.0
DEVONTE SMITH,0.0,0.0,0.0,2.0
DHIEGO LIMA,0.0,0.0,0.0,1.0
DIANA BELBITA,0.0,0.0,0.0,0.0
DIEGO BRANDAO,0.0,0.0,0.0,3.0
DIEGO FERREIRA,0.0,0.0,0.0,4.0
DIEGO LOPES,0.0,0.0,0.0,1.0
DIEGO NUNES,0.0,0.0,0.0,0.0
DIEGO RIVAS,0.0,0.0,0.0,1.0
DIEGO SANCHEZ,0.0,0.0,0.0,3.0
DIN THOMAS,0.0,0.0,0.0,0.0
DIONE BARBOSA,0.0,0.0,0.0,0.0
DMITRY SOSNOVSKIY,0.0,0.0,0.0,1.0
DOMINICK CRUZ,0.0,0.0,0.0,1.0
DOMINICK REYES,0.0,0.0,0.0,1.0
DOMINIQUE STEELE,0.0,0.0,0.0,0.0
DON FRYE,0.0,0.0,0.0,1.0
DON MADGE,0.0,0.0,0.0,0.0
DON'TALE MAYES,0.0,0.0,0.0,0.0
DONALD CERRONE,0.0,0.0,0.0,3.0
DONG HYUN KIM,0.0,0.0,0.0,6.0
DONG HYUN MA,0.0,0.0,0.0,1.0
DONGHUN CHOI,0.0,0.0,0.0,0.0
DONGI YANG,0.0,0.0,0.0,1.0
DOOHO CHOI,0.0,0.0,0.0,2.0
DOUGLAS SILVA DE ANDRADE,0.0,0.0,0.0,3.0
DRAKKAR KLOSE,0.0,0.0,0.0,2.0
DREW DOBER,0.0,0.0,0.0,4.0
DREW FICKETT,0.0,0.0,0.0,1.0
DREW MCFEDRIES,0.0,0.0,0.0,1.0
DRICUS DU PLESSIS,0.0,0.0,0.0,3.0
DUANE LUDWIG,0.0,0.0,0.0,1.0
DUSKO TODOROVIC,0.0,0.0,0.0,0.0
DUSTIN HAZELETT,0.0,0.0,0.0,3.0
DUSTIN JACOBY,0.0,0.0,0.0,2.0
